description,classes,duration
Закупка продуктов в «Пятёрочке»,Покупки,45
Подготовка к экзамену по физике,Образование Работа,120
Тренировка в зале,Спорт,120
Встреча с клиентом в кафе,Работа Встречи,120
Запись к стоматологу,Здоровье,45
Оформление загранпаспорта,Документы,60
Поход в кино с парнем,Развлечения Отношения,200
Ремонт крана на кухне,Быт,120
Совещание по проекту,Работа,120
Занятие по английскому,Образование Работа,75
Покупка новой куртки,Покупки,50
Пробежка в парке,Спорт Здоровье,45
Планирование отпуска в Турции,Путешествия,120
Маникюр в салоне,Красота Работа,90
Уборка квартиры,Быт Работа,180
Презентация для руководства,Работа,90
Игра в волейбол с друзьями,Развлечения Спорт Хобби,120
Заполнение налоговой декларации,Документы,90
Свидание в ресторане,Отношения,180
Стирка белья,Быт,40
Курс по программированию,Образование Хобби Работа,180
Покупка подарков на Новый год,Покупки,120
Йога дома,Спорт Здоровье,60
Бронирование отеля в Сочи,Путешествия Документы,60
Окрашивание волос,Красота,120
Мытьё посуды,Быт,20
Переговоры с партнёрами,Работа Встречи,150
Чтение учебной литературы,Образование Работа,120
Сборка мебели из IKEA,Быт,90
Массаж в спа-салоне,Красота Здоровье,90
Поездка на дачу,Путешествия Быт,600
Обсуждение планов с коллегой,Работа Встречи,60
Рисование акварелью,Хобби Развлечения Образование,120
Покупка бытовой техники,Покупки Быт,120
Зарядка утром,Спорт Здоровье,17
Оформление визы,Документы,120
Встреча с подругой в кофейне,Встречи,60
Подготовка доклада,Образование Работа,120
Генеральная уборка,Быт,240
Собеседование в компании,Работа,90
Просмотр сериала,Развлечения,120
Покупка лекарств в аптеке,Покупки Здоровье,15
Плавание в бассейне,Спорт Здоровье,60
Планирование свадьбы,Отношения Встречи,180
Стрижка в барбершопе,Красота,45
Приготовление ужина,Быт,60
Вебинар по маркетингу,Образование Работа,120
Игра в настолки с друзьями,Развлечения Хобби,180
Заказ мебели онлайн,Покупки,75
Прогулка в лесу,Здоровье,180
Оформление страховки,Документы,60
Свидание в парке,Отношения,120
Мытьё окон,Быт,90
Презентация стартапа,"Работа, Встречи",90
Изучение французского,Образование Хобби,120
Покупка обуви,Покупки,60
Велопрогулка,Спорт Развлечения,90
Бронирование билетов на самолёт,Путешествия Покупки Документы,30
Макияж перед вечеринкой,Красота,45
Глажка одежды,Быт,45
Рабочий чат с командой,Работа,15
Лекция по истории,Образование Работа,90
Покупка семян для огорода,Покупки,20
Силовая тренировка,Спорт Здоровье,120
Оформление доверенности,Документы,45
Встреча выпускников,Встречи Развлечения,240
Написание курсовой,Образование,240
Ремонт автомобиля,Быт Работа,180
Шопинг в ТЦ,Покупки Хобби,180
Медитация утром,Здоровье,15
Планирование маршрута по Европе,Путешествия,120
Процедура ухода за кожей,Красота Здоровье,60
Приготовление завтрака,Быт,30
Обсуждение KPI с начальством,Работа,60
Чтение профессиональной литературы,Образование Работа,90
Игра на гитаре,Хобби Развлечения,60
Покупка подарков для мамы,Покупки,60
Утренняя пробежка,Спорт Здоровье,30
Оформление прописки,Документы,90
Романтический ужин,Отношения Встречи,120
Мытьё машины,Быт,45
Презентация отчёта,Работа Образование,30
Онлайн-курс по дизайну,Образование Хобби,180
Покупка стройматериалов,Покупки Быт,60
Занятия танцами,Спорт Хобби,90
Бронирование экскурсии,Документы Путешествия,30
Салон красоты (уход за волосами),Красота,90
Приготовление обеда,Быт,60
Созвон с заказчиком,Работа,75
Семинар по психологии,Образование,120
Покупка цветов для девушки,Покупки Отношения,20
Плавание с дельфинами,Развлечения Хобби,120
Закаливание,Спорт Здоровье,15
Оформление наследства,Документы Работа,150
Встреча с репетитором,Образование Встречи,90
Написание реферата,Образование,120
Ремонт розетки,Быт,30
Покупка электроники,Покупки,60
Тренировка по боксу,Спорт Работа,90
Планирование командировки,Путешествия Работа,30
Спа-процедуры,Красота Здоровье,120
Стирка одежды,Быт,45
Обсуждение стратегии с командой,Работа Встречи,90
Курс по фотографии,Образование Хобби,120
Покупка продуктов на неделю,Покупки Быт,60
Занятие пилатесом,Спорт Здоровье Хобби,60
Оформление медицинской книжки,Документы Работа,45
Встреча с инвестором,Работа Встречи,120
Подготовка к семинару,Образование Работа,90
Ремонт велосипеда,Быт Работа,90
Покупка подарка на день рождения,Покупки Отношения,45
Прогулка с собакой,Быт,30
Заполнение анкеты на визу,Документы,60
Романтическая прогулка у реки,Отношения Встречи,120
Мытьё полов,Быт,45
Презентация проекта клиенту,Работа Встречи,90
Лекция по философии,Образование Работа,90
Покупка аксессуаров для хобби,Покупки Хобби,30
Тренировка по йоге,Спорт Здоровье Работа,75
Бронирование жилья на Airbnb,Покупки Документы,45
Уход за лицом в домашних условиях,Красота Здоровье,30
Приготовление ужина на праздник,Быт Развлечения,120
Совещание с отделом,Работа Встречи,90
Чтение книги по саморазвитию,Образование Развлечения,120
Покупка инструментов,Покупки Быт,60
Зарядка для глаз,Здоровье,5
Оформление медицинской страховки,Документы Здоровье,60
Встреча с наставником,Образование Встречи,90
Написание эссе,Образование,120
Мелкий ремонт в ванной,Быт,120
Покупка сувениров в путешествии,Покупки Путешествия Хобби,20
Прогулка на роликах,Спорт Развлечения Хобби,90
Заполнение декларации о доходах,Документы Работа,120
Свидание в театре,Отношения Развлечения,180
Мытьё фруктов и овощей,Быт,5
Обсуждение бюджета проекта,Работа Встречи,60
Онлайн-урок по рисованию,Образование Хобби,90
Покупка корма для питомца,Покупки,10
Тренировка по плаванию,Спорт Здоровье,90
Планирование поездки на море,Путешествия,120
Салон красоты (педикюр),Красота Работа,60
Приготовление завтрака в выходной,Быт Развлечения,45
Видеоконференция с филиалом,Работа Встречи,90
Семинар по лидерству,Образование Работа,90
Покупка растений для сада,Покупки Хобби,45
Пробежка вечером,Спорт Здоровье,45
Оформление разрешения на работу,Документы Работа,45
Встреча с агентом по недвижимости,Работа Встречи,90
Подготовка презентации для учёбы,Образование,45
Ремонт светильника,Быт,30
Шопинг онлайн,Покупки Красота,60
Занятие стретчингом,Спорт Здоровье,45
Бронирование круиза,Покупки Документы Путешествия,60
Уход за бровями,Красота,20
Приготовление праздничного торта,Работа Хобби Развлечения,210
Созыв команды на планёрку,Работа Встречи,10
Курс по копирайтингу,Образование Работа,120
Покупка инвентаря для спорта,Покупки,45
Тренировка с тренером,Спорт Здоровье,90
Оформление туристической страховки,Документы,45
Встреча с единомышленниками,Встречи Хобби,120
Написание конспекта,Образование,90
Замена лампочки,Быт,10
Покупка подарков на 8 Марта,Покупки Отношения,60
Прогулка по набережной,Развлечения Здоровье Отношения,90
Заполнение формы для участия в конференции,Документы Образование Работа,25
Ужин с родителями,Отношения Быт,120
Мытьё посуды после праздника,Быт Работа,45
Обсуждение контракта,Работа Образование,90
Чтение научной статьи,Образование,60
Покупка материалов для творчества,Покупки Хобби,45
Зарядка с тренером онлайн,Спорт Здоровье,30
Оформление регистрации по месту жительства,Документы,60
Встреча с потенциальным клиентом,Работа Встречи,90
Подготовка к защите проекта,Образование Работа,180
Мелкий бытовой ремонт,Быт,60
Покупка билетов на концерт,Покупки Развлечения,30
Прогулка на велосипеде,Спорт Развлечения Здоровье,120
Заполнение заявления на получение паспорта,Документы,10
Свидание на крыше,Отношения,120
Стирка постельного белья,Быт,60
Презентация идеи руководству,Работа Встречи,20
Посмотреть сериал на диване,Развлечения,120
Записаться к стоматологу,Здоровье Документы,30
Сделать домашку по матану,Образование,90
Сгонять в Леруа за лампочками,Покупки Быт,45
Погулять с друзьями,Встречи Развлечения,180
Починить смеситель на кухне,Быт,60
Подготовиться к дедлайну по проекту,Работа Образование,240
Сходить на йогу,Спорт Здоровье,75
Купить билеты в Питер,Путешествия Документы Покупки,20
Побегать в парке утром,Спорт Здоровье,50
Порешать задачки по ML,Образование,120
Сварить борщ на неделю,Быт,90
Созвон с заказчиком,Работа Встречи,45
Сделать маску для лица,Красота Здоровье,25
Прогуляться с девушкой по набережной,Отношения Встречи,150
Сдать анализы в лаборатории,Здоровье,30
Почитать книжку перед сном,Хобби Образование,60
Собрать чемодан в отпуск,Путешествия,180
Повторить лекции по статистике,Образование Работа,120
Забронировать отель в Сочи,Путешествия Работа Документы,25
Сделать презентацию для совещания,Работа,60
Сходить в магаз за продуктами,Покупки Быт,60
Потренироваться на гитаре,Хобби Развлечения,90
Сделать уборку в квартире,Быт,120
Погладить рубашки к собесу,Работа Красота,20
Посетить вебинар по Python,Образование Хобби Работа,90
Сделать скрининг на работе,Работа Документы,20
Купить подарок маме,Покупки Красота,30
Посмотреть матч с друзьями,Развлечения Встречи Хобби,120
Проверить почту и ответить на письма,Работа Образование,45
Сделать зарядку дома,Здоровье,15
Оплатить ЖКХ,Документы Быт,15
Приготовить ужин для двоих,Быт Отношения Хобби,70
Сделать резюме обновленное,Работа Документы,60
Сходить в кино на новинку,Развлечения,120
Погулять с собакой,Быт,25
Поработать над курсачом,Образование,120
Сделать педикюр,Красота,60
Съездить на дачу,Путешествия Быт Хобби,600
Посидеть в Discord с одногруппниками,Образование Встречи Развлечения,120
Купить новые кроссовки,Покупки,50
Сделать план на неделю,Работа Образование,20
Послушать подкаст про ИИ,Хобби Образование,180
Сделать массаж шеи,Здоровье,45
Сфоткаться для профиля,Красота Хобби Развлечения,20
Сходить в бассейн,Спорт Здоровье Хобби,90
Починить ноутбук,Быт Работа,120
Сделать перевод документов,Документы Работа Образование,90
Погулять по выставке,Развлечения Образование,150
Сделать backup данных,Работа,25
Сварить кофе и поразбирать почту,Работа Быт Образование,30
Посетить тренинг по soft skills,Работа Образование,120
Купить лекарства в аптеке,Покупки Здоровье,20
Сделать укладку волос,Красота,45
Сходить на пробежку вечером,Спорт Здоровье,50
Посмотреть туториал по Docker,Образование,120
Сделать цветы в горшках,Быт Хобби,45
Поговорить с родителями по зуму,Встречи,30
Сделать анализ рынка для проекта,Работа,150
Сходить в ТЦ за одеждой,Покупки Красота,90
Потренироваться в LeetCode,Хобби Образование,120
Сделать ужин и посмотреть серию,Быт Развлечения,100
Сдать отчет по практике,Образование Документы,15
Посетить концерт,Развлечения,180
Сделать разминку перед работой,Здоровье,15
Купить билет на конференцию,Образование Путешествия Работа Покупки,20
Сделать чек-лист для переезда,Быт Документы,75
Погулять в парке один,Здоровье,75
Сделать протокол встречи,Работа Документы,30
Сварить компот из сухофруктов,Быт,40
Посетить мастер-класс по рисованию,Хобби Образование Развлечения,120
Сделать кардио в зале,Спорт Здоровье,60
Собрать документы для визы,Документы,45
Поговорить с HR о повышении,Работа Встречи,30
Сделать планировщик питания,Здоровье,60
Посмотреть старый фильм,Развлечения Хобби,110
Сделать заметки с лекции,Образование,120
Сходить в баню с другом,Здоровье Развлечения Встречи,240
Купить подписку на Coursera,Образование Покупки Хобби,20
Сделать расписание занятий,Образование Работа Спорт,35
Почитать новости в Twitter,Развлечения,20
Сделать фронтенд-таску,Работа,120
Сварить суп на обед,Быт,50
Сделать растяжку после работы,Здоровье,25
Посетить open air,Развлечения Путешествия,240
Сделать фото для паспорта,Документы,30
Сходить в музей,Развлечения Хобби,120
Сделать бэкап кода на GitHub,Работа,20
Погулять с коллегами после работы,Встречи Развлечения,75
Сделать список покупок,Быт Покупки,15
Посмотреть стрим по ML,Образование Работа,90
Сделать утреннюю рутину,Быт Здоровье Красота,40
